CANNOT chose from ссѣдати	 to 	ссѣцати, снѣдати, ссѣкати, сѣдати, свѣдати, всѣдати	 distance == 1
CANNOT chose from встрѣтити	 to 	срѣтити, устремити, встрѣтитися, устрѣлити, истребити, стрѣлити, воспретити	 distance == 2
CANNOT chose from стрѣчати	 to 	стрѣкати, стрѣцати	 distance == 1
CANNOT chose from вдарити	 to 	дарити, варити, ударити, одарити	 distance == 1
CANNOT chose from спасъ	 to 	ужасъ, станъ, ипатъ, санъ, паръ, арасъ, спудъ, квасъ, власъ, сваръ, гаасъ, сосъ, асъ, споръ, часъ, мнасъ, песъ, срамъ, ирасъ, панъ, гласъ, сподъ, садъ, класъ	 distance == 2
CANNOT chose from кликати	 to 	вникати, сливати, клепати, плакати, ключати, лишати, кивати, вливати, сличати, лизати, алкати, кричати	 distance == 2
CANNOT chose from житий	 to 	живый, нищий, дикий, синий, дивий, житный, тихий, никий	 distance == 2
CANNOT chose from дѣтелие	 to 	летѣние, дѣление, веселие	 distance == 2
CANNOT chose from кордуна	 to 	корона, корсунь	 distance == 2
CANNOT chose from крылце	 to 	крыло, рыльце	 distance == 2
CANNOT chose from пожаловати	 to 	печаловати, жаловати	 distance == 2
CANNOT chose from сѣмия	 to 	земля, змия	 distance == 2
CANNOT chose from куриний	 to 	кириней, кроний	 distance == 2
CANNOT chose from мосия	 to 	молния, кония, гостия, босния, колия	 distance == 2
CANNOT chose from лидия	 to 	лидиа, ладия	 distance == 1
CANNOT chose from масия	 to 	асиа, кация, масть, ладия, кария, касиа	 distance == 2
CANNOT chose from солида	 to 	лида, слина, слива	 distance == 2
CANNOT chose from убояти	 to 	упояти, убости	 distance == 1
CANNOT chose from кричание	 to 	кончание, кичение	 distance == 2
CANNOT chose from наряжати	 to 	наругати, навязати, напрягати, напрязати, нарушати, нарицати, наляцати, належати, набѣжати	 distance == 2
CANNOT chose from ямский	 to 	земский, ломский	 distance == 2
CANNOT chose from тиунъ	 to 	тукъ, трупъ, тиръ, тлѣнъ, анунъ, трусъ, тиринъ, тигръ, тулъ, чинъ, тернъ, аинъ, хинъ, гионъ, зинъ, трудъ, сионъ	 distance == 2
CANNOT chose from стеречи	 to 	стрети, стрещи	 distance == 2
CANNOT chose from кривда	 to 	правда, акрида, гривна, крава	 distance == 2
CANNOT chose from торговати	 to 	тосковати, толковати, ворковати	 distance == 2
CANNOT chose from здоровати	 to 	даровати, злобовати, одаровати	 distance == 2
CANNOT chose from тамга	 to 	тавла, тьма, тафиа, кама, туга, тафна, рамма, стамна, тайна, тафта	 distance == 2
CANNOT chose from гиона	 to 	вина, глина, мина, сина, тина	 distance == 2
CANNOT chose from илурикъ	 to 	иллирикъ, клирикъ	 distance == 2
CANNOT chose from лужский	 to 	мужский, лухский	 distance == 1
CANNOT chose from хиона	 to 	вина, мина, хижа, сина, ехидна, тина	 distance == 2
CANNOT chose from ония	 to 	кония, онгия	 distance == 1
CANNOT chose from угорский	 to 	югорский, горский	 distance == 1
CANNOT chose from прѣсѣдѣти	 to 	предсѣдѣти, присѣдѣти	 distance == 1
CANNOT chose from покаяти	 to 	окаяти, подаяти, покаряти	 distance == 1
CANNOT chose from дѣи	 to 	гдѣ, здѣ	 distance == 2
CANNOT chose from прѣдѣлъ	 to 	предокъ, плевелъ, пепелъ, предметъ, превѣсъ, прадѣдъ, пѣтелъ	 distance == 2
CANNOT chose from волошский	 to 	восорский, колочский, волоцкий, волынский, полонский, полотский	 distance == 2
CANNOT chose from павелъ	 to 	плевелъ, авель, хаволъ	 distance == 2
CANNOT chose from илурикъ	 to 	иллирикъ, клирикъ	 distance == 2
CANNOT chose from вифанский	 to 	титанский, ифамский, васанский, виленский, винарский, ливанский	 distance == 2
CANNOT chose from растинати	 to 	растирати, распинати	 distance == 1
CANNOT chose from странь	 to 	страшно, странно	 distance == 2
CANNOT chose from вбивати	 to 	вливати, убивати	 distance == 1
CANNOT chose from прѣдати	 to 	придати, продати	 distance == 1
CANNOT chose from солъ	 to 	столъ, сонъ, соръ, колъ, сосъ, волъ, сомъ, полъ, сотъ, сокъ	 distance == 1
CANNOT chose from слуды	 to 	судъ, студъ, спудъ, слѣдъ, блудъ, слуга, слухъ	 distance == 2
CANNOT chose from сфандръ	 to 	саниръ, садръ	 distance == 2
CANNOT chose from прастѣнъ	 to 	праотецъ, простецъ	 distance == 2
CANNOT chose from турдовъ	 to 	суровъ, тировъ, иудовъ	 distance == 2
CANNOT chose from фастовъ	 to 	фасековъ, фасиевъ	 distance == 2
CANNOT chose from сфирковъ	 to 	сировъ, сиировъ	 distance == 2
CANNOT chose from якунъ	 to 	анунъ, акумъ, кумъ	 distance == 2
CANNOT chose from воиковъ	 to 	вифовъ, виловъ	 distance == 2
CANNOT chose from мутуръ	 to 	хуторъ, иетуръ	 distance == 2
CANNOT chose from емигъ	 to 	мисъ, пеигъ, миръ, мидъ	 distance == 2
CANNOT chose from фуръ	 to 	суръ, уръ, щуръ	 distance == 1
CANNOT chose from стѣнъ	 to 	станъ, остенъ, стонъ	 distance == 1
CANNOT chose from иггелдъ	 to 	аггелъ, сиггелъ	 distance == 2
CANNOT chose from моны	 to 	сонъ, ножны, мощи, конь, миры, моръ, мохъ	 distance == 2
CANNOT chose from свѣнь	 to 	свѣтъ, свѣй	 distance == 2
CANNOT chose from княжия	 to 	княжна, княгиня	 distance == 2
CANNOT chose from хрщати	 to 	прещати, прощати, крещати, хромати	 distance == 2
CANNOT chose from ущити	 to 	учити, убити	 distance == 1
CANNOT chose from цѣсарство	 to 	лѣкарство, царство	 distance == 2
CANNOT chose from феодоръ	 to 	федморъ, гедоръ	 distance == 2
CANNOT chose from изити	 to 	изути, изыти	 distance == 1
CANNOT chose from феофанъ	 to 	хофанъ, софанъ, феранъ	 distance == 2
CANNOT chose from сде	 to 	гдѣ, здѣ	 distance == 1
CANNOT chose from мама	 to 	малеа, мамона	 distance == 2
CANNOT chose from криво	 to 	зримо, живо, лживо, право	 distance == 2
CANNOT chose from лише	 to 	сице, излише, выше	 distance == 2
CANNOT chose from ускочити	 to 	искочити, скочити	 distance == 1
CANNOT chose from русинъ	 to 	муринъ, суринъ	 distance == 2
CANNOT chose from искупати	 to 	ископати, искапати, искупити	 distance == 1
CANNOT chose from пламы	 to 	аламъ, плачь, уламъ, платъ, еламъ, слама	 distance == 2
CANNOT chose from лядный	 to 	лобный, мѣдный, годный, ячный, рудный, чудный, водный, ясный, жадный, лѣсный, лунный, плодный, блудный, лесный, гладный, лужный, чюдный, личный, видный, лозный, родный, ложный, явный, судный, бѣдный, мясный, хладный, лѣтный	 distance == 2
CANNOT chose from прѣобидѣти	 to 	преобижати, предвидѣти, провидѣти	 distance == 2
CANNOT chose from осень	 to 	огнь, овенъ, остенъ, елень, оселъ, день	 distance == 2
CANNOT chose from имовитый	 to 	именитый, домовитый	 distance == 2
CANNOT chose from илия	 to 	улий, милий, елий, ания, иулий, вития, алая	 distance == 2
CANNOT chose from крщеный	 to 	кровный, кущный	 distance == 2
CANNOT chose from деревский	 to 	иерейский, керетский, верейский	 distance == 2
CANNOT chose from асмудъ	 to 	судъ, амадъ, студъ, спудъ, аспидъ, фасмусъ, аммадъ	 distance == 2
CANNOT chose from потягнути	 to 	протягнути, посягнути	 distance == 1
CANNOT chose from скора	 to 	ссора, кора	 distance == 1
CANNOT chose from малъ	 to 	маръ, мѣлъ, калъ, валъ	 distance == 1
CANNOT chose from досѣдѣти	 to 	довѣдѣти, посѣдѣти, сосѣдѣти	 distance == 1
CANNOT chose from радый	 to 	малый, рябый, младый, ратный, рудный, радъ, худый, жадный, каждый, рабий, равный, сѣдый, радивый, разный, родный, ранный, ржавый, рабный, самый, правый, градный	 distance == 2
CANNOT chose from теремный	 to 	требный, темный, чермный	 distance == 2
CANNOT chose from распасти	 to 	распастися, спасти, испасти, расчести, распаляти, напасти, растаяти, распяти, расплаяти, распалити, расписати, распалати	 distance == 2
CANNOT chose from крѣсити	 to 	красити, крѣпити	 distance == 1
CANNOT chose from теремский	 to 	тотемский, сремский, пермский	 distance == 2
CANNOT chose from поплакати	 to 	проплакати, оплакати	 distance == 1
CANNOT chose from исѣчи	 to 	сѣщи, имѣти, усѣщи, висѣти, ссѣщи, истещи, изсѣщи, испещи	 distance == 2
CANNOT chose from пристроити	 to 	пристояти, приставити, приступити, присвоити, построити, престрояти	 distance == 2
CANNOT chose from аврамъ	 to 	амамъ, адурамъ, врагъ, аламъ, арасъ, кирамъ, аравъ, авронъ, аиламъ, вамъ, храмъ, вранъ, арадъ, сирамъ, срамъ, авадъ, аваримъ, аримъ, ахранъ	 distance == 2
CANNOT chose from лотъ	 to 	плотъ, потъ, ловъ, лобъ, сотъ, фотъ	 distance == 1
CANNOT chose from саулъ	 to 	ваелъ, судъ, суръ, соузъ, столъ, алулъ, студъ, калъ, санъ, аилъ, самусъ, спудъ, тулъ, сиилъ, валъ, вулъ, паукъ, галлъ, садръ, слухъ, садъ, фаллъ	 distance == 2
CANNOT chose from данилъ	 to 	анимъ, аилъ, саниръ, данникъ, танинъ, каналъ, данафъ	 distance == 2
CANNOT chose from бсиръ	 to 	сеиръ, сиоръ	 distance == 2
CANNOT chose from цѣрь	 to 	цѣль, цѣпь	 distance == 1
CANNOT chose from небрѣщи	 to 	обрещи, нарещи, брещи	 distance == 2
CANNOT chose from уродство	 to 	родство, юродство	 distance == 1
CANNOT chose from норовъ	 to 	ровъ, кровъ	 distance == 2
CANNOT chose from мозоль	 to 	король, тополь	 distance == 2
CANNOT chose from олга	 to 	онега, нога, омега, лжа	 distance == 2
CANNOT chose from прѣбыти	 to 	предбыти, прибыти	 distance == 1
CANNOT chose from луга	 to 	луда, туга, дуга, луча, луна	 distance == 1
CANNOT chose from воина	 to 	вина, война	 distance == 1
CANNOT chose from подкладъ	 to 	подкапъ, прикладъ	 distance == 2
CANNOT chose from касогъ	 to 	канонъ, засовъ, асоръ, кусокъ, иасонъ, налогъ, сапогъ, камонъ, залогъ, касторъ, каролъ	 distance == 2
CANNOT chose from встужити	 to 	вступити, стужити	 distance == 1
CANNOT chose from сврѣщи	 to 	стрещи, врещи	 distance == 1
CANNOT chose from изрядити	 to 	изводити, изрѣшити, изъявити	 distance == 2
CANNOT chose from комонь	 to 	камень, камонъ	 distance == 2
CANNOT chose from разно	 to 	равно, рано	 distance == 1
CANNOT chose from чужий	 to 	чуждый, рыжий, сухий, божий, чий, шуий, буий, мужний	 distance == 2
CANNOT chose from охабити	 to 	бабити, забити	 distance == 2
CANNOT chose from вборзѣ	 to 	борзо, вдолзѣ	 distance == 2
CANNOT chose from адамъ	 to 	амамъ, аламъ, адаръ	 distance == 1
CANNOT chose from прѣдтещи	 to 	предрещи, претещи, предитещи	 distance == 1
CANNOT chose from уи	 to 	удъ, вои, усъ, уръ, уилъ, умъ	 distance == 2
CANNOT chose from куря	 to 	суръ, уръ, кумъ, щуръ	 distance == 2
CANNOT chose from заѣхати	 to 	задати, заклати, заушати, застати, ѣхати, засыхати, зачати, залежати, задѣвати, заимати, забрати, завѣщати, замѣчати	 distance == 2
CANNOT chose from малуша	 to 	халуга, малеа, далуиа	 distance == 2
CANNOT chose from ратити	 to 	растити, ранити, рачити, разити, радити, тратити	 distance == 1
CANNOT chose from спихнути	 to 	стиснути, утихнути	 distance == 2
CANNOT chose from заморие	 to 	поморие, заутрие	 distance == 2
CANNOT chose from туры	 to 	суръ, тукъ, тиръ, тулъ, путы, миры, чары, уръ, узы, увы, щуръ	 distance == 2
CANNOT chose from прѣчистый	 to 	нечистый, всечистый, пречестный	 distance == 2
CANNOT chose from правнукъ	 to 	травникъ, пращникъ	 distance == 2
CANNOT chose from прѣстояти	 to 	пристояти, предстояти	 distance == 1
CANNOT chose from упивати	 to 	уповати, пивати	 distance == 1
CANNOT chose from соколъ	 to 	столъ, колъ, скотъ, сокъ	 distance == 2
CANNOT chose from лукиный	 to 	лукавый, лунный, лужный, лукавный, львиный, лукинъ	 distance == 2
CANNOT chose from изнимати	 to 	изницати, изимати	 distance == 1
CANNOT chose from прѣставити	 to 	приставити, представити	 distance == 1
CANNOT chose from обрыти	 to 	обрати, обрити	 distance == 1
CANNOT chose from капичь	 to 	кирпичь, кличь, галичь	 distance == 2
CANNOT chose from родня	 to 	броня, родина, сотня, воня	 distance == 2
CANNOT chose from пазуха	 to 	пасха, пагуба	 distance == 2
CANNOT chose from солстити	 to 	поустити, спустити	 distance == 2
CANNOT chose from оли	 to 	боле, болѣ, ово, коль, долу	 distance == 2
CANNOT chose from жрѣти	 to 	врѣти, грѣти, зрѣти	 distance == 1
CANNOT chose from синкелъ	 to 	сикеръ, сивелъ, сиггелъ	 distance == 2
CANNOT chose from злочь	 to 	ложь, злость, плоть, злоба, ночь	 distance == 2
CANNOT chose from животинный	 to 	животочный, животный	 distance == 2
CANNOT chose from копылъ	 to 	котелъ, колъ, опытъ, копръ, козелъ	 distance == 2
CANNOT chose from сполна	 to 	полма, вполнѣ, полнѣ	 distance == 2
CANNOT chose from взорный	 to 	вѣрный, обзорный	 distance == 2
CANNOT chose from зарѣзати	 to 	отрѣзати, разрѣзати, изрѣзати, запрещати, залежати, задѣвати, урѣзати, вырѣзати, обрѣзати, рѣзати, завѣщати, замѣчати, царевати, завязати	 distance == 2
CANNOT chose from заратити	 to 	заустити, утратити, навратити, обратити, заплатити, запалити, извратити, защитити, завалити, заградити, тратити, замѣтити, запретити	 distance == 2
CANNOT chose from свинина	 to 	свиния, скиниа	 distance == 2
CANNOT chose from тщати	 to 	ткати, мщати	 distance == 1
CANNOT chose from розяти	 to 	взяти, рѣяти	 distance == 2
CANNOT chose from сѣни	 to 	сонъ, дѣти, санъ, ленъ, день, сынъ	 distance == 2
CANNOT chose from прѣтрѣбовати	 to 	потребовати, прерѣковати, пререковати	 distance == 2
CANNOT chose from кликнути	 to 	вникнути, блиснути	 distance == 2
CANNOT chose from пищана	 to 	пища, пищаль	 distance == 2
CANNOT chose from корити	 to 	укорити, курити	 distance == 1
CANNOT chose from лапотникъ	 to 	шепотникъ, работникъ	 distance == 2
CANNOT chose from отинудь	 to 	отонуду, отынуду	 distance == 2
CANNOT chose from крилосъ	 to 	клиросъ, приносъ, прилогъ	 distance == 2
CANNOT chose from глядѣти	 to 	олядѣти, глядати	 distance == 1
CANNOT chose from бѣшеный	 to 	бѣдный, бѣсный	 distance == 2
CANNOT chose from прѣбывати	 to 	прибывати, предбывати	 distance == 1
CANNOT chose from заячина	 to 	паучина, гатчина	 distance == 2
CANNOT chose from гоморъ	 to 	гофоръ, говоръ	 distance == 1
CANNOT chose from ротъ	 to 	рогъ, родъ, ровъ, потъ, рошъ, ростъ, сотъ, фотъ	 distance == 1
CANNOT chose from кдѣ	 to 	гдѣ, здѣ	 distance == 1
CANNOT chose from иродъ	 to 	родъ, юродъ, уродъ	 distance == 1
CANNOT chose from иоанъ	 to 	веанъ, санъ, панъ	 distance == 2
CANNOT chose from евга	 to 	нога, овца	 distance == 2
CANNOT chose from прѣтирати	 to 	препирати, презирати	 distance == 1
CANNOT chose from огнный	 to 	военный, сонный, денный, огненный, конный	 distance == 2
CANNOT chose from предити	 to 	упредити, предыти, предати	 distance == 1
CANNOT chose from сатана	 to 	станъ, авана, саванъ, савафа	 distance == 2
CANNOT chose from луче	 to 	уже, тучнѣ, уне, паче, туне	 distance == 2
CANNOT chose from самуилъ	 to 	иемуилъ, самусъ	 distance == 2
CANNOT chose from холопъ	 to 	холмъ, хелонъ	 distance == 2
CANNOT chose from ваалъ	 to 	ваелъ, валъ	 distance == 1
CANNOT chose from ереи	 to 	еией, иерей	 distance == 2
CANNOT chose from прѣобразити	 to 	предобразити, прообразити	 distance == 1
CANNOT chose from субота	 to 	сухота, суббота	 distance == 1
CANNOT chose from амосъ	 to 	амекъ, асъ	 distance == 2
CANNOT chose from ефрантовъ	 to 	ефрафовъ, ефроновъ	 distance == 2
CANNOT chose from ияковъ	 to 	ковъ, икосъ, псковъ	 distance == 2
CANNOT chose from истрѣбити	 to 	истрети, устремити, потребити, отребити, устрѣлити, истребляти, стрѣлити	 distance == 2
CANNOT chose from распрострѣти	 to 	распростирати, спрострети	 distance == 2
CANNOT chose from каинъ	 to 	аинъ, гаинъ, кринъ, клинъ, кашинъ	 distance == 1
CANNOT chose from удѣяти	 to 	дѣяти, одѣяти	 distance == 1
CANNOT chose from полянинъ	 to 	боляринъ, понтянинъ, поганинъ	 distance == 2
CANNOT chose from скотий	 to 	скотский, скотный, козий, скорый	 distance == 2
CANNOT chose from впити	 to 	вбити, внити, пити, влити, вити	 distance == 1
CANNOT chose from взвыше	 to 	свыше, выше	 distance == 2
CANNOT chose from прѣображение	 to 	проображение, предображение	 distance == 1
CANNOT chose from провара	 to 	продажа, проказа	 distance == 2
CANNOT chose from заимъ	 to 	анимъ, мнимъ, аилъ, кадимъ, климъ, римъ, иавимъ, аинъ, фаамъ, атаимъ, вамъ, гаинъ, салимъ, зинъ, заяцъ, наемъ, аримъ, зоинъ, елимъ	 distance == 2
CANNOT chose from вскладати	 to 	вскапати, накладати, вскласти, вскачати	 distance == 2
CANNOT chose from гридница	 to 	гробница, сродница, грѣшница	 distance == 2
CANNOT chose from стефанъ	 to 	станъ, софанъ	 distance == 2
CANNOT chose from чешский	 to 	земский, верский, гефский, пекский, дѣтский, невский, женский, чудский	 distance == 2
CANNOT chose from серухъ	 to 	врухъ, слухъ	 distance == 2
CANNOT chose from нахоръ	 to 	ахоръ, находъ	 distance == 1
CANNOT chose from аранъ	 to 	арканъ, арасъ, аравъ, маранъ, харанъ, асанъ, вранъ, арадъ, ахранъ	 distance == 1
CANNOT chose from испытъ	 to 	ипатъ, исподъ, опытъ	 distance == 2
CANNOT chose from хорватъ	 to 	ховаръ, ховалъ, хорафъ, корванъ	 distance == 2
CANNOT chose from биричь	 to 	кирпичь, бичь	 distance == 2
CANNOT chose from менший	 to 	мний, унший	 distance == 2
CANNOT chose from мастеръ	 to 	маистръ, маисторъ	 distance == 2
CANNOT chose from лименъ	 to 	ленъ, киминъ, ливанъ, зигенъ, скименъ	 distance == 2
CANNOT chose from даль	 to 	калъ, валъ, даръ, датель	 distance == 2
CANNOT chose from стрѣлище	 to 	требище, зрѣлище	 distance == 2
CANNOT chose from возрѣти	 to 	воззрѣти, возврѣти, возрыти, возгрѣти, созрѣти	 distance == 1
CANNOT chose from вымчати	 to 	воочати, вручати, выслати, выручати, выдати, вѣнчати	 distance == 2
CANNOT chose from жажа	 to 	сажа, жаба, жажда	 distance == 1
CANNOT chose from шуринъ	 to 	муринъ, суринъ	 distance == 1
CANNOT chose from сарра	 to 	сириа, мерра, сажа, сарида, пара, лаира, серна, кара, сѣра, спира, карфа, ссора, самара	 distance == 2
CANNOT chose from агарь	 to 	тварь, агава	 distance == 2
CANNOT chose from прѣсвятый	 to 	трисвятый, пресвѣтлый, всесвятый, превзятый	 distance == 2
CANNOT chose from вжадати	 to 	жадати, впадати	 distance == 1
CANNOT chose from арий	 to 	архией, орарий, аримъ	 distance == 2
CANNOT chose from сергий	 to 	сардий, семеий	 distance == 2
CANNOT chose from куръ	 to 	суръ, уръ, кумъ, щуръ	 distance == 1
CANNOT chose from никия	 to 	никеа, ликиа, финикия	 distance == 2
CANNOT chose from курилъ	 to 	кумиръ, крикъ, муринъ, кармилъ, кринъ, уилъ, суринъ, фуримъ, критъ, каролъ	 distance == 2
CANNOT chose from домнинъ	 to 	зомминъ, адомминъ	 distance == 2
